id,client_name,title,status,priority,created_at,updated_at
1,ABC Ltd,Printer not working,open,high,2024-06-07 09:30:00,2024-06-08 10:00:00
2,XYZ Corp,Email access issue,in_progress,medium,2024-06-05 14:20:00,2024-06-11 16:00:00
3,Beta LLC,VPN not connecting,closed,low,2024-06-01 08:15:00,2024-06-06 11:45:00
4,Omega Inc,Office 365 license problem,open,high,2024-06-10 10:05:00,2024-06-12 09:15:00
5,Gamma Co,Network outage report,in_progress,critical,2024-06-09 07:45:00,2024-06-12 11:30:00
6,Delta Ltd,Slow internet speed,closed,low,2024-05-28 12:30:00,2024-06-01 14:00:00
7,Sigma Solutions,Backup failed,open,high,2024-06-04 15:10:00,2024-06-11 12:00:00
8,Epsilon Group,WiFi instability,open,medium,2024-06-06 10:30:00,2024-06-07 13:00:00
9,Alpha Tech,Firewall configuration issue,closed,high,2024-06-03 09:20:00,2024-06-05 11:40:00
10,Theta Labs,Server overheating alert,in_progress,critical,2024-06-02 06:00:00,2024-06-12 12:30:00
11,Phoenix Corp,Antivirus expired,open,medium,2024-06-08 14:45:00,2024-06-09 09:00:00
12,Orion Enterprises,Cloud storage sync failure,closed,low,2024-06-01 10:10:00,2024-06-04 12:20:00
13,Lambda Services,Software update failed,in_progress,high,2024-06-05 07:50:00,2024-06-11 15:10:00
14,NuWave LLC,Unresponsive workstation,open,high,2024-06-09 11:25:00,2024-06-10 16:40:00
15,Sigma Networks,Network latency spike,closed,medium,2024-06-03 08:40:00,2024-06-05 13:50:00
16,Omicron Ltd,Disk space low warning,open,medium,2024-06-10 13:15:00,2024-06-12 10:45:00
17,Zeta Consulting,Database connection lost,in_progress,critical,2024-06-06 06:30:00,2024-06-12 14:30:00
